Campaign Name,Mediaplan,Campaign Mp Label,Datasource_y
MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,Sizmek Sas
MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,Sizmek Sas
MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,Sizmek Sas
MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,Sizmek Sas
MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,Sizmek Sas
MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_XAXIS-DISPLAY_BREAKFASTFORONE,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-VIDEO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Xaxis - Video_Mid-Morning snack,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-VIDEO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Xaxis - Video_Mid-Morning snack,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-VIDEO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Xaxis - Video_Mid-Morning snack,Sizmek Sas
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_XAXIS-VIDEO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Xaxis - Video_Mid-Morning snack,Sizmek Sas
